time,round,batch_num,client_id,epoch,train_loss,train_acc,batch_size
2025-10-05 15:32:43,3,3,15,2,1.3145427703857422,0.5625,32
2025-10-05 15:32:29,3,86,12,1,0.9313226938247681,0.625,32
2025-10-05 15:32:35,3,34,14,2,1.4635759592056274,0.53125,32
2025-10-05 15:32:23,3,77,9,2,1.2068665027618408,0.59375,32
2025-10-05 15:32:43,3,4,15,2,1.286408543586731,0.46875,32
2025-10-05 15:32:29,3,87,12,1,0.9480134844779968,0.75,32
2025-10-05 15:32:35,3,35,14,2,1.502568244934082,0.40625,32
2025-10-05 15:32:23,3,78,9,2,0.9153184294700623,0.5625,32
2025-10-05 15:32:29,3,88,12,1,0.8825664520263672,0.71875,32
2025-10-05 15:32:43,3,5,15,2,1.2895009517669678,0.5625,32
2025-10-05 15:32:23,3,79,9,2,0.817048966884613,0.625,32
2025-10-05 15:32:35,3,36,14,2,1.4254807233810425,0.4375,32
2025-10-05 15:32:43,3,6,15,2,1.057324767112732,0.59375,32
2025-10-05 15:32:29,3,89,12,1,1.0305713415145874,0.625,32
2025-10-05 15:32:35,3,37,14,2,1.442551851272583,0.5625,32
2025-10-05 15:32:23,3,80,9,2,0.9599783420562744,0.6875,32
2025-10-05 15:32:43,3,7,15,2,0.9865533709526062,0.5625,32
2025-10-05 15:32:29,3,90,12,1,0.5328222513198853,0.8125,32
2025-10-05 15:32:35,3,38,14,2,1.643003225326538,0.34375,32
2025-10-05 15:32:23,3,81,9,2,0.7385408282279968,0.59375,32
2025-10-05 15:32:43,3,8,15,2,1.1081849336624146,0.5625,32
2025-10-05 15:32:29,3,91,12,1,0.7293058633804321,0.71875,32
2025-10-05 15:32:35,3,39,14,2,1.4883538484573364,0.46875,32
2025-10-05 15:32:23,3,82,9,2,0.7654798626899719,0.6875,32
2025-10-05 15:32:43,3,9,15,2,1.5242035388946533,0.375,32
2025-10-05 15:32:29,3,92,12,1,0.6576493978500366,0.71875,32
2025-10-05 15:32:35,3,40,14,2,1.5005135536193848,0.375,32
2025-10-05 15:32:23,3,83,9,2,0.7879137396812439,0.71875,32
2025-10-05 15:32:43,3,10,15,2,1.1812453269958496,0.59375,32
2025-10-05 15:32:29,3,93,12,1,0.6356794834136963,0.84375,32
2025-10-05 15:32:35,3,41,14,2,1.5968862771987915,0.375,32
2025-10-05 15:32:23,3,84,9,2,1.2840993404388428,0.625,32
2025-10-05 15:32:43,3,11,15,2,1.160302996635437,0.46875,32
2025-10-05 15:32:29,3,94,12,1,1.5874431133270264,0.4375,32
2025-10-05 15:32:23,3,85,9,2,1.176953673362732,0.53125,32
2025-10-05 15:32:35,3,42,14,2,1.20208740234375,0.59375,32
2025-10-05 15:32:43,3,12,15,2,1.2387678623199463,0.5625,32
2025-10-05 15:32:29,3,95,12,1,1.077265977859497,0.59375,32
2025-10-05 15:32:23,3,86,9,2,1.0754165649414062,0.53125,32
2025-10-05 15:32:35,3,43,14,2,1.6095118522644043,0.40625,32
2025-10-05 15:32:43,3,13,15,2,1.3666677474975586,0.4375,32
2025-10-05 15:32:29,3,96,12,1,1.2458810806274414,0.625,32
2025-10-05 15:32:35,3,44,14,2,1.357994794845581,0.5,32
2025-10-05 15:32:23,3,87,9,2,1.0304946899414062,0.625,32
2025-10-05 15:32:43,3,14,15,2,1.040223240852356,0.59375,32
2025-10-05 15:32:29,3,97,12,1,1.0206396579742432,0.625,32
2025-10-05 15:32:35,3,45,14,2,1.4162033796310425,0.3125,32
2025-10-05 15:32:23,3,88,9,2,0.9462528824806213,0.65625,32
2025-10-05 15:32:43,3,15,15,2,1.161971092224121,0.5625,32
2025-10-05 15:32:29,3,98,12,1,1.2134263515472412,0.59375,32
2025-10-05 15:32:35,3,46,14,2,1.1730060577392578,0.625,32
2025-10-05 15:32:23,3,89,9,2,1.1151678562164307,0.6875,32
2025-10-05 15:32:43,3,16,15,2,1.3035929203033447,0.40625,32
2025-10-05 15:32:29,3,99,12,1,0.9604431986808777,0.71875,32
2025-10-05 15:32:23,3,90,9,2,1.1822619438171387,0.625,32
2025-10-05 15:32:35,3,47,14,2,1.3411283493041992,0.5,32
2025-10-05 15:32:43,3,17,15,2,1.6827154159545898,0.25,32
2025-10-05 15:32:29,3,100,12,1,0.850954532623291,0.625,32
2025-10-05 15:32:35,3,48,14,2,1.7541797161102295,0.375,32
2025-10-05 15:32:23,3,91,9,2,1.3973512649536133,0.4375,32
2025-10-05 15:32:43,3,18,15,2,1.6703414916992188,0.34375,32
2025-10-05 15:32:29,3,101,12,1,0.981155276298523,0.5625,32
2025-10-05 15:32:35,3,49,14,2,1.1249924898147583,0.5625,32
2025-10-05 15:32:23,3,92,9,2,1.5695250034332275,0.53125,32
2025-10-05 15:32:43,3,19,15,2,1.3183746337890625,0.5,32
2025-10-05 15:32:29,3,102,12,1,1.1378713846206665,0.5,32
