round,global_accuracy,global_loss
1,10.0,2.3016161224510094
2,18.74,1.9522436947762212
3,30.24,1.8096154143538656
4,38.99,1.6450576284263707
5,50.98,1.3914766764339013
6,56.37,1.2184588622443284
7,60.59,1.0888123406639583
8,62.13,1.0254901059066193
9,64.43,0.9987420945227901
10,66.99,0.926861281636395
11,68.56,0.8828469877001606
12,69.76,0.848900370205505
13,70.8,0.817095351370075
14,71.7,0.7796012910106515
15,73.65,0.7505886622622043
